TITLE,KSA,EG,IMAGE,DESCRIPTION
The Thing,02:30 EGYPT,03:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/December/week-3/12-12-2015/The-Thing/original/fe9e763ff07aa806d8768fbf82ccb2ce5caf8242/The Thing.jpg,"Its the first week of winter in 1982. An American Research Base is greeted by an alien force, that can assimilate anything it touches. Its up to the members to stay alive, and be sure of who is human, and who has become one of the Things."
How Do You Know,04:30 EGYPT,05:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2014/february/week-3/22-2-2014/max/HOW-DO-YOU-KNOW_1024/original/0d975899788d55ce7f703214d4895410449d618a/HOW-DO-YOU-KNOW_1024.jpg,A charming romantic comedy about two lost souls who might have just been found.
Ghostbusters II,06:30 EGYPT,07:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/MAX/2013/june/26-6-2013/GHOSTBUSTERS-II/original/252dbeba13ff2bc5cbeb2b6cf4a03e47aa4ae768/GHOSTBUSTERS-II.jpg,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
Charlie St. Cloud,08:45 EGYPT,09:45 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/march/week-02/11-3-2015/CHARLIE-STCLOUD/original/7303f1b43d4da128b7047b9d9e0fa8d249d38047/CHARLIE-STCLOUD.jpg,"Charlie St. Cloud has been given the gift of seeing his deceased brother, but when a new love interest is in trouble he must choose between saving a life or continuing to see his brother everyday."
Just Go with It,10:30 EGYPT,11:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2014/July/Week-3/20-7-2014/JUST-GO-WITH-IT_1024/original/d18bd9516177d403376040fb0e4e82d70dd62af1/JUST-GO-WITH-IT_1024.jpg,"Scarred on his wedding night to discover his fiancée was sleeping with some other guy and was only marrying him for the security of his job as a doctor, for years Danny starts floating through relationships pretending to be the distraught, deceived husband- until one trip to Hawaii…"
The Great Gatsby,12:30 EGYPT,13:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2016/february/Week-3/17-2-2016/001/The-Great-Gatsby/original/b82e87af3294ae3c7dc05967468b2804d4c91d53/The Great Gatsby.jpg,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
The Insider,15:00 EGYPT,16:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/August/week-04/31-8-2015/The_Insider_september-2015/original/426a656399da05300218b71cd99c9c4a29d48606/The_Insider_september-2015.jpg,"A spin-off of “Entertainment Tonight,” “The Insider” is a US-syndicated entertainment news program, reporting on tabloid topics involving celebrities and Hollywood events."
Entertainment Tonight,15:30 EGYPT,16:30 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/2015/August/week-04/31-8-2015/Entertainment-tonight-september-2015/original/ba26b68d6d4dd8e4b3f453ae3e7e13ef2330e9da/Entertainment-tonight-september-2015.jpg,"“Entertainment Tonight,” or more commonly, “ET,” is a US-syndicated entertainment news program, reporting on Hollywood's hottest stories from the worlds of the rich and famous.  It includes the latest events, exclusive interviews, and behind-the-scenes “first looks” at the newest and greatest in the entertainment world."
Lady in the Water,16:00 EGYPT,17:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/2013/june/02/LADY IN THE WATER/original/9fa3de5494603021b7474ae44f86764924de6926/LADY IN THE WATER.jpg,"Cleveland Heep is a superintendent at a Philadelphia apartment complex and one day discovers Story, a narf from The Blue World floating in his building's pool. Story is here to find a specific writer that will better the future of humanity by completing his book and in time inspiring a future President to change the world for the better."
Knowing,18:00 EGYPT,19:00 KSA,http://www.mbc.net//.imaging/stk/mbc/listing/media/Photos/Grid/2013/june/02/KNOWING/original/e96e2adf8a2b91947d5550a188d582150419df18/KNOWING.jpg,"As the opening ceremony for a newly constructed elementary school gets under way, a time capsule containing drawings of the future is buried on the grounds and scheduled to be unearthed on the school's 50th anniversary."
